title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Amusement,5.642,324,2008-10-09,170255,85,6000000,13.266,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Lady Vampire,4.4,5,2004-08-24,1000000,151,9000,0.745,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pollyanna,6.964,165,1960-05-19,3750000,134,2500000,9.572,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
baskarbel prodgy,10.0,1,,12000000,2,36000,0.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
We Believed,6.5,51,2010-11-12,2124145,170,7000000,5.424,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Sorry to Bother You,6.833,1393,2018-07-06,18200000,112,3200000,13.634,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Good Night,5.301,108,2007-01-25,508084,93,15000000,10.125,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
Ready,5.007,77,2011-06-03,27000000,140,5800000,6.706,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Duelist,6.339,84,2016-09-29,6101904,110,12823507,6.393,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Sicilian,5.1,113,1987-10-07,5406879,116,9000000,7.145,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Trade Winds,6.5,4,1938-12-28,964404,93,738733,2.353,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Walking with Dinosaurs,6.09,435,2013-12-18,126546518,87,80000000,20.356,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Angela's Ashes,7.204,267,1999-12-25,13042112,145,50000000,13.149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chappie,6.776,7438,2015-03-04,104399548,120,49000000,34.709,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Believe,6.25,30,2013-10-04,284000,94,6000000,2.951,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Crocodile Who Lived for 100 Days,10.0,1,2021-07-09,293094,62,1831837,0.959,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Mirror Has Two Faces,6.677,283,1996-11-15,41083864,126,42000000,10.081,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
esias,10.0,2,2016-11-07,1,8,20,0.6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
Coherence,7.239,2564,2013-09-19,139745,89,50000,19.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Rita's Last Fairy Tale,7.0,15,2012-10-18,486937,100,200000,1.172,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
The Birdcage,7.029,1010,1996-03-08,185260553,119,31000000,18.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fifth Estate,6.033,932,2013-10-11,8555008,128,28000000,16.393,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Capitalism: A Love Story,7.129,486,2009-09-06,17436509,128,20000000,10.202,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
White Snake,7.7,411,2019-01-11,61631776,99,11936735,22.89,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
An American Werewolf in Paris,5.923,612,1997-05-29,26570463,98,22000000,11.691,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
It's Complicated,6.499,1282,2009-12-23,219103655,121,85000000,19.255,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ulterior Motive,10.0,1,,50,5,50,0.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Puthan Panam,5.3,10,2017-04-12,1400000,147,930000,1.346,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FOMO: Fear of Missing Out,7.0,6,2019-10-10,78254,0,208000,0.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bait,5.657,694,2012-09-05,32500000,93,30000000,20.362,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Stealing Harvard,4.764,123,2002-09-13,14277032,85,25000000,7.832,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Proud Mary,5.454,463,2018-01-12,21753365,88,14000000,11.611,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bouffée d'air frais,8.0,2,2023-02-16,345,7,80,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harold & Kumar Escape from Guantanamo Bay,6.264,1334,2008-04-25,43493123,101,12000000,14.959,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFC 102: Couture vs. Nogueira,5.9,5,2009-08-29,1920000,180,1285000,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man on Fire,7.45,4674,2004-04-23,130293714,146,70000000,33.347,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
A Company Man,6.846,156,2012-10-11,7339398,96,3500000,13.675,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Pain in the Ass,5.112,49,2008-01-01,2030916,86,30000000,3.101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackass Forever,6.876,668,2022-02-01,80340218,96,10000000,23.527,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anomalisa,7.128,1581,2015-12-30,5659286,90,8000000,11.162,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Project Gemini,5.854,363,2022-01-06,211674,98,6000000,55.942,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A Mighty Heart,6.39,292,2007-06-22,18928871,100,16000000,11.609,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
This Is It,7.195,823,2009-10-28,261200000,111,60000000,14.014,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Downton Abbey: A New Era,7.206,381,2022-04-27,88000000,125,40000000,16.333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Hostility,7.0,1,2015-12-02,100,1,10,0.6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airport '77,5.583,258,1977-03-11,30000000,114,6000000,13.879,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Isle of Dogs,7.857,4427,2018-03-23,64337744,101,62770198,18.059,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keeping Mum,6.633,511,2005-12-02,18564702,103,169000,9.355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memoirs of an Invisible Man,5.909,508,1992-02-28,14358033,99,40000000,13.602,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Plus One,4.5,13,2008-08-21,927277,96,336029,1.139,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SuperFly,6.761,332,2018-06-13,20545116,107,16000000,18.797,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Arrival,5.995,673,1996-05-31,14063331,115,25000000,14.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
State of Play,6.786,1769,2009-04-17,87812371,127,60000000,29.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Metamorphosis,8.0,1,1976-01-12,60000,82,275000,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank,6.876,1509,2014-05-09,1897363,95,1000000,7.97,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Jai Surya,6.0,1,2004-12-17,500000,159,500000,0.749,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Hidden,6.9,355,1987-10-30,9747988,96,5000000,12.167,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Shadowboxing,5.54,62,2005-03-05,8262833,126,3500000,3.443,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UFC 94: St-Pierre vs. Penn 2,5.7,5,2009-01-31,4290020,241,1091000,2.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finding Dory,7.042,11429,2016-06-16,1028570889,97,200000000,26.562,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I Still Know What You Did Last Summer,5.315,1351,1998-11-13,40002112,100,65000000,28.176,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Jumanji,7.239,9833,1995-12-15,262821940,104,65000000,13.444,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
